id,lon,lat,name
1,32.0020185,34.7552863,Point_1
2,32.0017264,34.7568647,Point_2
3,32.0013709,34.7592747,Point_3
4,32.0008686,34.7592282,Point_4
5,31.9989216,34.7588889,Point_5
6,31.9949883,34.7583269,Point_6
7,31.9949045,34.7584954,Point_7
8,31.9935946,34.7610871,Point_8
9,31.9931215,34.7612314,Point_9
10,31.9928399,34.7617486,Point_10
11,31.9967105,34.7649642,Point_11
12,31.9946202,34.7697162,Point_12
13,31.9933431,34.7735369,Point_13
14,31.9924582,34.7758799,Point_14
15,31.9914632,34.7783142,Point_15
16,31.990925,34.7795312,Point_16
17,31.9907496,34.7810156,Point_17
18,31.9903182,34.784156,Point_18
19,31.9896034,34.7870351,Point_19
20,31.9891654,34.7904681,Point_20
21,31.9890412,34.7910819,Point_21
22,31.9889181,34.791882,Point_22
23,31.9887625,34.7925609,Point_23
24,31.988778,34.7950822,Point_24
25,31.9887223,34.7963523,Point_25
26,31.9891728,34.7965564,Point_26
27,31.9904481,34.7972126,Point_27
28,31.9910834,34.7975935,Point_28
29,31.9915368,34.7980052,Point_29
30,31.991989,34.7985877,Point_30
31,31.9930283,34.7989453,Point_31
32,31.9938288,34.7989911,Point_32
33,31.9942017,34.7992765,Point_33
34,31.9950065,34.799787,Point_34
35,31.9959574,34.7999675,Point_35
36,31.9954879,34.8013821,Point_36
37,31.9942882,34.807369,Point_37
38,31.9994136,34.8091662,Point_38
39,32.0007156,34.8096525,Point_39
40,32.004536,34.8109559,Point_40
41,32.0066048,34.8117481,Point_41
42,32.0099549,34.8147651,Point_42
43,32.0105172,34.8143548,Point_43
44,32.0109036,34.8140702,Point_44
45,32.0108566,34.8140298,Point_45
46,32.0161773,34.8102541,Point_46
47,32.0170347,34.8095739,Point_47
48,32.0187054,34.8081378,Point_48
49,32.0208536,34.8060645,Point_49
50,32.0214733,34.8055811,Point_50
51,32.0217447,34.8053303,Point_51
52,32.0220036,34.8050359,Point_52
53,32.0223045,34.8046212,Point_53
54,32.0217041,34.8038902,Point_54
55,32.0228932,34.802589,Point_55
56,32.0239572,34.8013207,Point_56
57,32.025809,34.7989788,Point_57
58,32.0258601,34.8005229,Point_58
59,32.025891,34.8005582,Point_59
60,32.0280803,34.797666,Point_60
61,32.0285913,34.7970599,Point_61
62,32.0301584,34.7950349,Point_62
63,32.0315898,34.7928696,Point_63
64,32.0313622,34.7928319,Point_64
65,32.0265401,34.7916063,Point_65
66,32.0255833,34.7913407,Point_66
67,32.0218767,34.7892125,Point_67
68,32.0232269,34.7853944,Point_68
69,32.0238765,34.784926,Point_69
70,32.0267494,34.7831509,Point_70
71,32.0270396,34.7828878,Point_71
72,32.027206,34.7826787,Point_72
73,32.0273539,34.7824244,Point_73
74,32.027671,34.7816672,Point_74
75,32.0278335,34.7810742,Point_75
76,32.0282607,34.7784757,Point_76
77,32.0284676,34.7769663,Point_77
78,32.0286531,34.7761485,Point_78
79,32.0286801,34.7757851,Point_79
80,32.0288936,34.7744154,Point_80
81,32.0303241,34.7742689,Point_81
82,32.0305385,34.7743384,Point_82
83,32.0337367,34.7760317,Point_83
84,32.0346436,34.776546,Point_84
85,32.0372565,34.7783705,Point_85
86,32.0381879,34.7789754,Point_86
87,32.0382304,34.7788434,Point_87
88,32.0382366,34.7788241,Point_88
89,32.0386707,34.778101,Point_89
90,32.0366922,34.7766735,Point_90
91,32.0327793,34.7743862,Point_91
92,32.0334869,34.7726921,Point_92
93,32.0334717,34.7726831,Point_93
94,32.0272924,34.7810425,Point_94
95,32.0020559,34.7553007,Point_95
96,32.0013479,34.7592479,Point_96
